cntry,netusoft,nwsptot,ppltrst,rdtot,tvtot,actrolga,bctprd,dclagr,dclaid,dclcrm,dclenv,dclmig,dclwlfr,dmcntov,euftf,gincdif,ginveco,lawobey,lrscale,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,trstsci,imbgeco,aesfdrk,atchctr,atcherp,blgetmg,dscrgnd,dscrrlg,happy,health,inprdsc,rlgdgr,sclmeet,ccnthum,vteumbgb,impenva,impfreea,impfuna,impricha,impsafea,imptrada,ipadvnta,ipcrtiva,iplylfra,ipmodsta,ipudrsta,cntryfcz,origfcz,orig
Holanda,5.0,0.0,3,2.0,4.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,4,4.0,2.0,7,2,3,6,6.0,4,7,6,5,4,8.0,5,2,10.0,7.0,2.0,0,0,7,2,4.0,3,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,16,1,Nacional
Finlandia,5.0,2.0,5,7.0,2.0,2.0,1,4.0,1.0,3.0,4.0,4.0,3.0,8.0,5.0,2,5.0,4.0,7,2,3,9,5.0,4,8,4,6,9,8.0,8,1,10.0,7.0,2.0,0,0,8,4,4.0,2,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,Nacional
Chequia,5.0,1.0,3,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,2.0,2,4.0,2.0,5,3,4,7,4.0,4,8,2,2,2,8.0,6,2,10.0,7.0,2.0,0,0,9,1,4.0,0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3,1,Nacional
Turquia,5.0,0.0,1,0.0,1.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,1,4.0,2.0,6,3,0,0,0.0,0,2,0,0,5,8.0,5,3,10.0,7.0,2.0,0,0,2,2,4.0,5,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,25,1,Nacional
Noruega,5.0,1.0,9,7.0,7.0,4.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,0.0,3,4.0,2.0,5,2,9,8,8.0,8,9,10,7,8,8.0,7,1,10.0,3.0,2.0,0,0,10,2,3.0,0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,17,3,Extranjero
Turquia,5.0,4.0,1,1.0,5.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,2,4.0,2.0,2,2,2,1,1.0,1,3,1,0,1,8.0,3,3,10.0,7.0,2.0,0,0,3,3,4.0,2,2,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,25,1,Nacional
Portugal,5.0,1.0,6,7.0,7.0,3.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,2,4.0,2.0,3,2,6,7,7.0,6,6,7,3,7,8.0,6,1,9.0,7.0,2.0,0,0,7,2,3.0,6,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,19,1,Nacional
Ucrania,5.0,2.0,2,0.0,2.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,6.0,2,4.0,2.0,2,1,3,4,3.0,4,3,2,2,4,8.0,4,3,10.0,7.0,2.0,0,0,5,4,4.0,4,2,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,26,1,Nacional
Italia,5.0,1.0,5,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,1,4.0,2.0,4,3,5,7,4.0,4,8,8,5,7,8.0,6,3,9.0,9.0,2.0,0,0,8,1,2.0,6,7,3.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,14,1,Nacional
Chequia,5.0,2.0,5,0.0,7.0,2.0,2,2.0,1.0,2.0,3.0,1.0,3.0,8.0,5.0,2,2.0,1.0,2,3,4,5,5.0,5,5,10,5,5,8.0,2,3,10.0,7.0,2.0,0,0,10,3,4.0,7,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3,1,Nacional
Irlanda,5.0,1.0,7,3.0,7.0,2.0,1,3.0,2.0,1.0,1.0,1.0,3.0,8.0,5.0,3,5.0,2.0,5,2,8,3,5.0,3,7,4,1,5,8.0,2,2,10.0,7.0,2.0,0,0,7,2,4.0,5,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,1,Nacional
Irlanda,5.0,1.0,3,1.0,4.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,2,4.0,2.0,1,1,3,2,0.0,1,9,8,0,7,8.0,4,3,10.0,7.0,2.0,0,0,3,1,4.0,3,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,1,Nacional
Noruega,5.0,1.0,7,1.0,4.0,2.0,1,3.0,1.0,1.0,1.0,1.0,3.0,8.0,5.0,1,5.0,4.0,2,3,9,7,5.0,7,8,6,3,8,8.0,5,2,10.0,7.0,2.0,0,0,8,2,4.0,9,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,17,1,Nacional
Rusia,5.0,0.0,6,1.0,4.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,8.0,4,4.0,2.0,7,3,7,5,6.0,5,6,2,7,8,8.0,7,3,10.0,7.0,2.0,0,0,8,4,4.0,9,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,29,1,Nacional
Belgica,5.0,0.0,0,2.0,6.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,1,4.0,2.0,8,2,2,5,0.0,8,5,7,6,8,8.0,5,1,10.0,7.0,2.0,0,0,6,3,4.0,5,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1,1,Nacional
Alemania,5.0,1.0,3,7.0,3.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,7.0,0.0,2,4.0,2.0,7,3,8,4,3.0,6,9,7,1,0,8.0,5,1,10.0,7.0,2.0,0,0,9,4,4.0,7,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,Nacional
Alemania,5.0,2.0,7,1.0,5.0,2.0,2,3.0,1.0,1.0,2.0,2.0,3.0,8.0,5.0,4,2.0,2.0,7,1,4,6,1.0,5,8,7,4,4,8.0,3,2,10.0,7.0,2.0,0,0,8,3,4.0,7,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,Nacional
Finlandia,5.0,1.0,7,7.0,7.0,3.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,3,4.0,2.0,4,2,6,7,4.0,7,7,9,5,8,8.0,6,1,7.0,7.0,2.0,0,0,8,2,3.0,0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,Nacional
Chequia,5.0,0.0,2,2.0,4.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,4,4.0,2.0,5,4,8,9,7.0,8,7,7,5,7,8.0,5,2,10.0,7.0,2.0,0,0,7,2,4.0,5,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3,1,Nacional
Lituania,3.0,1.0,6,7.0,7.0,3.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,7,2,3,5,3.0,2,6,6,2,6,8.0,4,3,8.0,4.0,2.0,0,0,6,2,2.0,6,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,33,1,Nacional
Bulgaria,5.0,1.0,0,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,5,3,5,4,3.0,4,3,5,1,6,6.0,5,2,9.0,3.0,2.0,0,0,3,2,2.0,5,2,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,27,1,Nacional
Finlandia,5.0,1.0,5,7.0,7.0,4.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,3,4.0,2.0,5,3,2,8,4.0,3,3,4,2,8,8.0,2,2,3.0,3.0,2.0,0,0,4,2,3.0,4,4,4.0,1.0,2.0,1.0,1.0,5.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,7,1,Nacional
