netusoft,nwsptot,ppltrst,rdtot,tvtot,actrolga,dclcrm,dclmig,dmcntov,euftf,gincdif,ideo_fcz,ideo,imbgeco,stfgov,aesfdrk,atchctr,atcherp,dscrgnd,happy,rlgdgr,sclmeet,origfcz,iplylfra,impenva,impfreea,impricha,imptrada,ipmodsta,ipudrsta
1.0,1.0,4,7.0,7.0,1.0,1.0,3.0,8.0,7.0,1,2,Socialdemócrata,8,5.0,2,9.0,7.0,0,7,2,3,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,6,7.0,6.0,2.0,1.0,3.0,8.0,10.0,1,2,Socialdemócrata,7,3.0,1,10.0,7.0,0,8,8,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,7,3.0,5.0,2.0,1.0,3.0,8.0,7.0,1,1,SocialComunista,7,6.0,3,10.0,7.0,0,8,10,3,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,5,1.0,2.0,2.0,3.0,3.0,8.0,5.0,2,2,Socialdemócrata,5,5.0,3,10.0,7.0,0,8,2,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,7,7.0,7.0,1.0,1.0,3.0,8.0,4.0,2,2,Socialdemócrata,5,7.0,2,10.0,10.0,0,8,7,5,1,2.0,3.0,4.0,5.0,3.0,5.0,2.0
5.0,0.0,4,5.0,1.0,2.0,1.0,3.0,8.0,5.0,2,1,SocialComunista,6,2.0,1,10.0,7.0,0,8,1,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,2,0.0,3.0,2.0,1.0,4.0,8.0,5.0,1,1,SocialComunista,1,0.0,2,10.0,7.0,0,5,4,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,8,7.0,7.0,1.0,1.0,3.0,8.0,1.0,2,2,Socialdemócrata,6,3.0,2,9.0,6.0,0,6,9,4,3,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,5.0,7,2.0,6.0,2.0,1.0,3.0,8.0,4.0,2,2,Socialdemócrata,5,7.0,1,10.0,7.0,0,9,0,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,8,7.0,7.0,2.0,1.0,3.0,8.0,3.0,2,1,SocialComunista,6,3.0,2,4.0,4.0,0,7,2,3,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,7,1.0,5.0,2.0,3.0,3.0,8.0,5.0,2,3,ExtremaDerecha,5,7.0,2,10.0,7.0,0,10,7,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,0,7.0,7.0,2.0,1.0,3.0,8.0,8.0,2,2,Socialdemócrata,5,4.0,2,10.0,7.0,0,8,4,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
