lrscale
4
5
4
3
5
5
5
2
6
6
5
5
0
6
5
4
4
10
5
3
4
5
10
4
5
4
5
5
2
5
4
6
4
4
5
5
3
1
3
1
5
2
0
5
5
2
10
5
3
0
3
5
2
4
10
6
2
4
10
4
6
3
3
3
4
5
3
5
4
5
6
2
5
5
5
5
5
5
0
4
5
5
6
5
5
5
5
5
5
5
5
5
5
5
3
6
5
5
0
5
2
2
5
1
5
5
5
5
0
5
5
6
5
10
3
3
5
1
0
3
5
5
0
2
5
5
5
4
5
10
5
5
6
1
5
1
10
5
5
3
5
5
5
4
4
4
3
5
5
5
4
5
3
5
5
10
3
6
0
0
5
5
5
5
6
3
10
0
5
3
2
6
10
5
5
5
5
6
5
5
1
10
5
5
4
0
3
5
5
3
6
2
5
10
3
5
10
0
0
3
4
5
5
5
5
3
2
3
10
5
2
5
0
6
5
6
5
10
0
2
0
5
5
5
5
0
5
5
5
4
5
5
5
3
5
5
0
3
5
10
4
5
10
10
4
5
2
5
6
5
1
4
5
4
2
5
5
5
0
3
5
10
10
5
5
5
5
2
5
5
4
5
2
10
4
5
5
3
3
5
3
6
5
4
5
0
5
5
0
5
3
5
10
3
3
5
4
5
5
2
3
10
6
4
3
2
6
4
5
5
5
5
5
5
0
5
10
10
5
0
5
5
3
2
10
3
2
3
5
5
2
5
5
0
5
5
5
4
2
3
1
10
5
5
3
3
6
2
5
5
6
5
6
5
5
5
5
5
5
3
5
4
5
5
5
0
2
0
5
5
5
5
3
5
2
5
5
3
5
4
5
5
5
5
5
5
3
5
3
5
2
5
10
5
5
2
5
6
4
3
0
2
10
6
3
6
5
6
5
5
10
6
5
5
5
5
5
10
5
5
6
3
5
10
4
3
1
3
0
4
2
5
5
0
6
0
5
5
5
0
5
5
5
5
5
5
5
0
2
6
3
1
5
4
5
3
5
5
5
10
2
5
5
0
5
5
2
5
6
6
5
5
6
5
3
6
5
10
6
2
4
4
3
5
3
5
5
3
0
6
5
5
5
5
2
5
2
5
2
5
1
5
0
2
2
5
10
2
5
4
3
4
5
3
5
5
6
5
10
5
5
5
5
4
5
10
4
10
10
3
5
0
3
3
3
10
0
5
4
5
1
5
0
10
5
2
4
2
5
5
0
10
2
2
5
4
2
3
1
3
3
0
5
6
4
4
5
10
4
10
6
0
0
5
5
4
6
5
5
3
5
5
6
0
10
4
5
3
4
3
3
6
0
5
5
1
1
5
5
4
4
5
4
0
5
1
5
5
3
5
0
6
5
6
0
3
5
5
5
5
6
3
5
5
3
10
10
5
10
5
6
1
5
3
2
4
0
5
5
10
5
5
6
5
5
6
6
3
5
5
6
5
10
5
4
3
0
5
0
3
6
1
5
10
2
4
2
10
4
3
10
5
1
1
0
3
10
5
2
5
5
4
4
0
4
2
5
5
5
0
5
0
4
4
6
4
5
1
5
6
3
3
5
4
5
5
5
3
3
5
4
6
3
4
5
0
3
3
6
5
1
10
4
4
5
6
5
5
3
5
1
10
5
5
5
2
5
5
5
2
10
3
10
3
5
5
6
2
5
5
3
5
5
5
3
5
5
4
6
5
6
5
5
2
5
2
10
0
3
3
4
5
2
5
5
5
5
0
4
5
5
5
5
6
5
3
3
5
4
6
2
5
5
5
10
5
5
5
2
5
6
0
6
5
3
5
5
5
0
4
5
5
5
2
0
6
3
5
5
0
2
5
4
2
2
10
3
5
5
0
3
3
0
5
5
0
5
4
4
5
5
5
5
5
0
5
1
5
0
0
5
5
5
3
5
10
3
6
5
5
5
6
2
10
4
3
10
5
0
3
2
5
2
0
5
5
6
5
5
6
5
3
0
4
5
6
3
6
5
2
0
1
5
5
5
0
5
5
4
5
5
5
6
5
2
2
6
0
4
4
3
3
10
10
5
6
5
0
5
6
5
5
0
5
2
5
5
5
1
3
0
5
3
5
0
5
2
4
5
5
5
4
3
3
6
5
0
5
1
5
5
6
5
5
10
4
1
0
6
0
5
0
10
0
5
4
5
6
4
5
10
6
4
5
5
5
10
5
2
0
5
5
5
5
4
5
5
4
5
5
5
4
5
6
0
5
10
5
5
5
5
1
6
0
2
5
3
6
5
5
5
6
4
5
5
5
5
0
3
5
5
6
5
5
5
5
5
5
5
4
3
5
5
5
2
3
6
0
3
6
0
6
5
3
5
5
5
3
6
3
5
3
6
5
0
5
2
10
5
5
6
6
5
4
5
5
5
6
5
5
5
2
4
5
5
5
5
2
0
5
6
0
4
2
5
5
4
5
6
3
5
1
5
5
4
4
6
1
3
5
2
2
10
5
5
5
5
10
5
5
5
3
10
5
6
5
3
2
4
5
5
4
5
0
6
3
5
5
4
0
4
3
0
5
1
5
6
3
5
5
5
0
5
6
5
2
5
10
6
0
0
4
5
5
3
0
5
5
5
6
6
6
5
5
5
0
5
1
6
5
4
5
2
2
5
3
5
4
5
5
0
10
1
3
0
1
2
5
0
5
3
5
5
3
3
6
0
5
0
5
5
5
10
2
5
0
6
3
2
6
5
10
6
5
5
4
3
5
5
2
5
5
5
4
4
0
5
5
4
5
3
5
3
5
10
4
5
5
10
4
5
4
5
3
1
5
10
4
1
6
4
5
10
4
3
6
0
4
4
0
5
3
5
5
5
5
3
5
5
5
3
2
1
4
5
6
2
5
5
10
2
2
3
3
0
5
3
5
5
4
5
5
6
10
4
5
0
0
5
4
5
5
5
6
5
5
3
3
5
3
0
0
3
5
3
